,accuracy,precision,recall,f1_score,roc_auc
XGBoost,0.9283,0.3713,0.5859,0.4545,0.9036
Random Forest,0.9192,0.3596,0.75,0.4861,0.942
Gradient Boosting,0.9502,0.5185,0.3281,0.4019,0.93
Neural Network,0.9554,0.58,0.4531,0.5088,0.9457
Logistic Regression,0.84,0.2314,0.9219,0.3699,0.9451
